"Name","Population","Home Value Growth (YoY)","Home Value","Price Cut %","Days on Market"
"Dillingham, AK","4,780","-","-","0.0%","86"
"Aleutians East, AK","3,423","-","-","0.0%","176"
"Bethel, AK","18,487","-","-","0.0%","179"
"Lake and Peninsula, AK","1,007","-","-","0.0%","208"
"Bristol Bay, AK","878","-","-","133.3%","96"
"Chugach, AK","6,964","-","-","0.0%","102"
"Juneau, AK","31,969","2.3%","$474,429","19.0%","36"
"Haines, AK","2,077","5.8%","$336,738","0.0%","146"
"Hoonah-Angoon, AK","2,313","-","-","0.0%","40"
"Skagway, AK","1,308","-","-","0.0%","7"
"Sitka, AK","8,393","11.6%","$496,605","0.0%","25"
"Kodiak Island, AK","12,878","7.6%","$403,598","19.0%","71"
"Yakutat, AK","506","-","-","0.0%","3"
"Kenai Peninsula, AK","59,843","0.9%","$319,490","17.1%","59"
"Petersburg, AK","3,394","2.4%","$337,393","0.0%","71"
"Wrangell, AK","2,106","8.5%","$311,335","0.0%","84"
"Prince of Wales-Hyder, AK","5,730","-","-","11.4%","122"
"Ketchikan Gateway, AK","13,870","2.3%","$385,659","11.7%","53"
"Teton, MT","6,291","6.2%","$319,630","16.6%","80"
"Glacier, MT","13,713","5.6%","$169,502","14.8%","74"
"Sanders, MT","12,936","3.7%","$412,352","29.2%","59"
"Deer Lodge, MT","9,512","3.8%","$272,430","17.9%","65"
"Granite, MT","3,419","6.1%","$443,248","10.2%","87"
"Jerome, ID","24,788","3.6%","$402,176","18.0%","52"
"Twin Falls, ID","95,156","2.7%","$375,483","26.7%","51"
"Elmore, ID","29,046","3.4%","$355,184","24.5%","40"
"Ferry, WA","7,326","3.2%","$282,761","18.1%","61"
"Okanogan, WA","42,811","2.3%","$307,687","12.1%","40"
"Owyhee, ID","12,284","2.0%","$414,421","33.3%","53"
"Gem, ID","19,854","2.2%","$478,531","41.7%","61"
"Canyon, ID","257,674","0.9%","$416,281","24.3%","43"
"Yakima, WA","256,643","2.5%","$347,565","20.8%","45"
"Multnomah, OR","789,698","0.4%","$516,787","36.8%","43"
"Modoc, CA","8,646","3.8%","$187,058","13.1%","120"
"Humboldt, NV","17,299","5.9%","$335,635","16.2%","57"
"Humboldt, CA","133,985","-4.5%","$446,049","32.4%","54"
"Lake, OR","8,254","5.1%","$199,959","20.6%","81"
"Lake, MT","32,073","2.1%","$581,799","21.1%","66"
"Silver Bow, MT","35,589","1.4%","$268,701","12.6%","61"
"Box Elder, UT","59,725","2.4%","$452,284","26.1%","47"
"Oneida, ID","4,681","3.4%","$320,618","28.5%","132"
"Minidoka, ID","21,922","3.9%","$319,033","26.9%","65"
"Ada, ID","524,673","1.8%","$532,032","24.0%","33"
"Eureka, NV","1,660","-3.6%","$132,401","0.0%","36"
"Kootenai, ID","185,010","1.2%","$588,663","18.0%","44"
"Stevens, WA","47,470","3.9%","$373,762","32.3%","44"
"Asotin, WA","22,424","0.0%","$348,495","30.7%","43"
"Wheeler, OR","1,434","1.3%","$285,170","0.0%","194"
"Elko, NV","53,852","4.7%","$360,911","15.9%","64"
"San Juan, WA","18,266","-0.5%","$902,892","14.0%","46"
"Mason, WA","68,389","2.1%","$459,030","27.5%","36"
"Skamania, WA","12,276","3.2%","$560,941","45.0%","52"
"Polk, OR","89,805","1.2%","$482,169","29.2%","49"
"Grays Harbor, WA","77,290","-0.8%","$326,447","23.6%","55"
"Wahkiakum, WA","4,573","2.4%","$399,599","19.0%","76"
"Pacific, WA","23,750","0.3%","$340,149","22.7%","57"
"Lane, OR","381,181","1.0%","$461,128","35.7%","43"
"Madison, MT","8,975","1.8%","$739,965","9.8%","91"
"Shoshone, ID","13,580","1.9%","$272,282","28.3%","58"
"Power, ID","8,018","-0.3%","$262,929","30.7%","74"
"Cassia, ID","25,165","1.3%","$338,690","16.6%","50"
"Boise, ID","8,045","-0.1%","$466,979","25.1%","39"
"Boundary, ID","12,695","1.3%","$451,758","19.0%","38"
"Benewah, ID","9,913","0.4%","$315,583","33.3%","44"
"Latah, ID","40,315","3.2%","$466,545","30.3%","47"
"Baker, OR","16,796","1.7%","$296,948","21.0%","73"
"Franklin, WA","99,034","0.4%","$420,265","22.9%","44"
"Morrow, OR","12,249","3.5%","$310,009","26.6%","55"
"Lander, NV","5,745","4.0%","$233,410","0.0%","64"
